id,Categories,Response,Further Responses,Notes,
,Amazing stories around the world with facts,"Welcome to amazing world tales. <Short audio> This is great way to learn about places, people and their culture .Would you like to start?","[Yes] Say a country name, we will find a nice story from that place. For example, India. Or America. To change the speed, say set speed slow or, very slow or medium. [Set speed medium] Speed is updated. To continue, please say a country name. [Canada] <Short audio> This is your story from Canada. Story title, The Moon and the Rabbit. Long ago, there was a rabbit. He was a great hunter and set traps to catch animals. But he suddenly started finding his traps empty. He realised that it was a thief’s mischief. He made a trap from a stout bow-string and set it beside his snare. He carried the end of the bow-string and hid himself. The Moon suddenly disappeared and it grew very dark. Soon, he saw a white light coming towards the trap. He pulled the bow-string, closed the trap and tied the string to a tree. He took some black mud and threw it at the white light. He heard a voice saying, “I am the Moon and you have spotted my face with mud. Come and untie me”. The rabbit untied the prisoner and took a promise that he would never steal his prey. The Moon hurried on his way. Since that night, the Moon still bears the marks of the black mud on his face. Sometimes, he goes away to wash off the mud. But he never succeeds in cleaning himself and when he comes back to his work, the black marks are still upon his shining face. This is end of the story. To continue with another story, please say a country name or say random. To know the list of countries say list the countries. To know a fact about Canada, say, tell me a fact. [Tell me a fact] Here is a fact about canada. Canada has the longest coastline of any country in the world at 151,600 miles. To know more facts, say next fact or tell a country name to listen to a story. [List the countries] Here is the random top 5 country list. iran, australia, myanmar, america, malaysia, Please, say a country name to continue. [Myanmar] This is your story from Myanmar. Story title, The Black Crow. Once, Sun fell in love with a princess. The princess too became quite fond of him. The Sun decided to send her a blood-red Ruby stone as a token of his love for her. He put the gem in a silken bag and asked a crow to deliver it to his beloved. In those days, a crow had milky white feathers and it was considered a sacred bird. As the crow began flying, he smelled delicious food from a wedding feast. It kept the bag on a tree and went to eat the food. A merchant saw the bag and was overjoyed to see its contents. He took out the ruby, filled the bag with dry cow dung and put the bag on the tree. When the crow returned, he took the bag and reached the princess. She took the bag eagerly. But when she saw its contents, she reeled back in anger. She flung the bag away, rushed to her palace, and never came out again. When the Sun learnt of the incident, he was furious and turned his scorching gaze on the crow resulting in his feathers burnt black. 50 the crow’s feathers have been black ever since. This is end of the story. To continue with another story, please say a country name or say random. To know the list of countries say list the countries. To know a fact about Myanmar, say, tell me a fact. [Random] We could not find a story from the country you specified. Here is a random story for you. This is your story from bhutan. Story title, Family Misfortunes. Once there lived Dough with his wife Butter, son Ant and daughter Cotton. One morning, Butter asked Ant to bring dried resin from the mepche tree. “Stay away from fresh resin to avoid getting stuck”, she cautioned. Ant paid no attention. He saw a big blob of resin emerging from a crack in the tree and rushed forward to grab it. And he got stuck. When he did not return, Dough went to search for him. “Do not go near the edge of the road; you could slip and roll down the side”, advised Butter. But Dough moved at the edge thinking that he was safer there. He lost his balance and went rolling down the side. When Doth also did not return, Cotton went to search for him. “Do not walk in open spaces, you could get blown away by the wind”, warned Butter. Cotton did not listen and took a short cut across a meadow. A gust of wind blew her away. Butter waited for her family. The day got hotter. Butter began melting and finally turned into a puddle of liquid. This was the end of Dough family which perished because they did not follow what they were told. This is end of the story. To continue with another story, please say a country name or say random. To know the list of countries say list the countries. To know a fact about bhutan, say, tell me a fact.",,
,Math Facts - Math Practice for Kids,Welcome to Math Facts What kind of operation would you like to practice?,"[Multiplication] OK, multiplication. Let's get started! What's 11 times 11? [One hundred twenty one] That's it! 11 times 11 equals 121. What's 8 times 12? [Ninety] That's not quite it. 8 times 12 equals 96. Let's try saying that together three times. 8 times 12 equals 96. 8 times 12 equals 96. 8 times 12 equals 96. What's 11 times 6? [Division] OK, let's switch to division. What's 36 divided by 12? [Three] That's it! 36 divided by 12 equals 3. What's 14 divided by 2? [Seven] That's it! 14 divided by 2 equals 7. What's 7 divided by 1? [I don't know] I'm sorry, that's not something I can do right now, but I'm learning every day, just like you! What's 7 divided by 1? [Addition] OK, let's switch to addition. What's 5 plus 7? [Twelve] You got 4 correct out of 5. Nice work! Keep practicing! Say addition if you would like to practice more addition.",,
,Mad Libs,"This is Mad Libs! The world's greatest word game. We'll fill in the blanks, to make a story. In Mad Libs. I ask for part of a speech, and you give me a specific word. For help with a word. Say, what's this? To start again, say start over. and, if you can't take the fun, just say stop. If you want to hear the story again, say repeat. Or if you want a new story, you can just say play again! Take a deep breath. This story uses 17 words. ok, here we go. a plural noun [Apples] Almost there. I need an adjective. [Cool] Word up. 15 words left. How about a plural noun? [Chickens] You're on a roll! I need an adjective. [Quiet] Wow, your great with words! I need an adjective. [Icy] That'll work. Give me a noun. [Bottle] Keep at it! Give me a person in the room last name. [King] That's the way! 10 words left. Tell me a last name of person. [Johnson] Wow, your great with words! I need a place. [The park] Wait til you hear this. We're halfway done. I need another last name of a person. [Smith]  You're funny! I need a part of the body. [Finger] Clever! Tell me a type of liquid. [Oil] Wow, your great with words! 5 words left. I need an article of clothing plural. [Socks]  Great! Tell me a relative. [Uncle] Wow, your great with words! Say a piece of furniture. [Bench] Good! How about a verb ending in I N G? [Working] Don't stop now! And finally. Give me an adjective. [Boring]","And we're done. OK. Here we go. I call it, Campfire Stories. It is always fun to chop up some apples and use them to build a cool campfire. Then you get all of the chickens to sit around the fire and tell scary stories. You can tell about Ichabod Crane, the quiet schoolteacher of Sleepy Hollow, and his icy adventures with the headless bottle. Or you can tell “The Fall of the House of king,” which was written by Edgar Allen Johnson. Or you can tell about vampires from the park, like the terrible Count smith, who bit people on the finger and drank their oil. By this time, many of the young campers will start shaking in their socks and will begin yelling for their uncle and go hide under the bench. Believe me, when it comes to working a bunch of kids, there’s nothing like a real boring ghost story. I like that Mad Lib. Wanna play again? [No] Thanks for playing.",,
,Kids Trivia,"Welcome to Kids Trivia. I will ask you 5 questions, try to get as many right as you can. Please reply with the number of the answer. For example, say one or two. Let's begin. Question 1. In which city was Jesus born? 1. Bethlehem. 2. Jerusalem.",[Jerusalem] Question 1. In which city was Jesus born? 1. Bethlehem. 2. Jerusalem. [Bethlehem] <No response>,Doesn't seem functional,
,The SpongeBob Challenge,<Short audio>,,Doesn't seem functional - would not recognize responses,
,Kids Animal Sounds,Welcome to Kids Animal Sounds! Inside you will travel to different parts of the world to hear and learn about your favorite animals.Our next stop is in Asia to visit the TigerSay Continue to visit the Tiger. You can say List Animals or Stop to quit.,"[Continue] <Short Audio> Welcome to Asia. Home of the tiger. <Short Audio> Tigers are the largest cat species.They hunt at night for bears, buffalo, wild cattle, and many other types of animals.Tigers have three to four cub in one litter. Our next stop is in Western Europe to visit the BearSay Continue to visit the Bear.  [Continue] <Short Audio> Welcome to Western Europe! Home to the Bear. <Short Audio> Bears can run up to twenty five miles an hour.They live in many different habitats depending on the type of bear.Those types including the polar, brown, black, sloth, giant panda and spectacled bear. <Short Audio> Our next stop is in Africa to visit the LionSay Continue to visit the Lion. [Continue] <Short Audio> Welcome to Africa! Home to the Lion. <Short Audio> Lions can live for ten to fourteen years in wild.The female Lion is referred to as a lioness.They are inactive for about twenty hours a day, mostly active at dusk. <Short Audio> Our next stop is in North America to visit the RaccoonSay Continue to visit the Raccoon. [Continue] <Short Audio> Welcome to North America! Home to the racoon. <Short Audio> Raccoons have 40 teeth and like to snack on plants.They live about 3 years in the wild.Raccoon's can weigh up to 20 pounds. <Short Audio> Our next stop is in Africa to visit the LeopardSay Continue to visit the Leopard. [List the animals] Here is our current list of animals. Be sure to check back often.CheetahCougarPenguinSea LionRhinocerosMonkeyTigerBearLionRaccoonLeopardSquirrelZebraBatElephantPrairie DogPigDonkeyHorseHippopotamussheepcowWhich animal would you like to visit? For example, say Visit the Penguin. [Visit the Donkey] <Short Audio> Welcome to Africa! Home to the Donkey <Short Audio> <Audio-Only Response> Our next stop is in North America to visit the HorseSay Continue to visit the Horse. [Continue] <Short Audio> Welcome to North America! Home to the Horse. <Short Audio> Our next stop is in Africa to visit the HippopotamusSay Continue to visit the Hippopotamus. [Cancel] Thanks for visiting Kids Animal Sounds! If you liked this skill, please give us a 5 star rating ",Asks for ratings,
,Animal Game for Kids - Play and Learn,"Sure. Please think of an animal, and let me guess it. Does it live in a large group with others of its kind?","[Yes] Does it bark? [No] Is its neck long? [No] Does it have a trunk? [Maybe] Does it roar? [I don’t know] Is it a predator? [No] What color is it? [Brown] Can you find it at a farm? [Unlikely] Hmm... This is a tricky one... Do people raise them for their meat? [No] How many legs does it have? [No] Please describe it's skin. For example, is it fur, bare skin, needles, shell, or feathers? [Fur] Does it have hooves? [No] Let me think. Is it a marsupial? Does it carry its baby in its pouch? [No] Is it larger than a shoebox? [Yes] Does it like to eat fish? [No] Does it climb trees? [Yes] I think I got it... Is it a monkey? [Yes] Yay! Good pick! Do you want to play more? [No] Sure. If you want to guess Alexa's animal, try our 'Animal Detective' game. You may need to enable it in the Alexa app. Thanks for playing.",Asks to download a different skill,
,Kid Jokes," You never notice how inappropriate song lyrics are, until you hear your child singing them ", I got the Smarty Buddy App to get my son ready for the secret school IQ test and now all parents think my kid is a genius [Restart skill] At bedtime children turn into dehydrated philosophers that need a hug and a bathroom break [Restart skill]  I got the Smarty Buddy App to get my son ready for the secret school IQ test and now all parents think my kid is a genius [Restart] Cleaning with children in the house is like brushing your teeth while eating Oreos [Restart] You can't come to understand the meaning of long suffering until you've had to wait on a toddler to do anything. All. By. Himself ,"Possible advertising - Repeatedly brings up the statement about the Smarty Buddy App, more frequently than the jokes. Also, seems to be a skill geared towards parents, not kids",
,Moshi Twilight,<Audio only responses>,,Moshi Twilight is unrecognized - tested Moshi Sleep instead for its similar name,
,Guess the Animal: Animal Sounds Game,,,Invokes same skill as Animal Sounds,
,Winnie the Pooh Facts,A A Milne was a soldier and a playwright beforehe wrote Winnie the Pooh.,"Winnie the Pooh had adventures with Piglet, Eeyore, Kanga, Roo, Owl, Rabbit, and Tigger in the 100 Acre Wood. The wood was based on the Ashdown Forest in southern England, which is near the authors family home. [Restart] Winnie the Pooh stories have been translated in to 50 different languages. ",,
,KidloLand Kids Songs and Nursery Rhymes,,,Unrecognized as a skill,
,Nursery Rhymes. Twinkle Twinkle Little Star,,,"Unrecognized as a skill - prompts Alexa to talk about an Amazon Music Subscription (paid service), then asks if you would like to start using it",
,Clothes Forecast,Something went wrong determining your weather. Please make sure you have granted this skill the required permissions.,,Possibly unrecognized,
,The Bedtime Game,"Welcome to the bedtime game, are you ready to play?","[Yes] Is it dark outside? [Yes] Is your mom or dad home from work? [Yes] That means late. Why the heck are you still up? Run to bed as fast as you can! ,Do you want to play again? [Yes]  Is it dark outside? [No] Have you had dinner yet? [No] That means it's time for dinner. Make sure you eat your vegetables ,Do you want to play again? [No] Ok, have a good night!",,
,Daily Motivational Quotes,Welcome to Daily Motivational Quotes! Would you like to listen to the quote of the day,"Here is the quote of the day Difficulties in your life do not come to destroy you, but to help you realize your hidden potential and power, let difficulties know that you too are difficult. Hope you liked the quote, Do you want to listen to another quote? [Yes] Think of rising higher. Let it be your only thought. Even if your object be not attained, the thought itself will have raised you. Hope you liked the quote, Do you want to listen to another quote? [Yes] To achieve any success you have to first control your sense and when this is combined with vision you can achieve any goal. Hope you liked the quote, Do you want to listen to another quote? [No] Come back tomorrow to play the experience again. Just say, ""Alexa, open Daily Motivational Quotes"" to open the skill again.",,
,Call Santa,<Audio only response - voice of Santa>,,"Brings up the skill Amazon: Call Santa, which may be an Amazon-made skill",
,Choose Your Own Adventure,<Audio only reponses - story telling>,,The stories are somewhat violent and possibly not suitable for kids,
,Word Mess,Welcome to Word Mess. Fix the word mess and guess the correct word to score. Say 'help' for a quick guide. Choose a game level to begin. Say 'level 1' for the 'basic' level. Say 'level 2' for the 'adventure' level. Say 'level 3' for the 'challenger' level.,"[Level 1] Ok, I'll hold on for a few seconds. [Level one] You are currently playing at the 'basic' level. I will ask 3 questions now. Start your answer with 'is it'. Say 'repeat' to repeat the question, 'hold' to pause the game and 'give up' to reveal the answer. Guess the word containing the letters e s c a. [Is it case] Correct. Guess the word containing the letters a k s t. [Is it task] Correct. Guess the word containing the letters o j k e. [Is it ojke] Wrong. Please try again. [Repeat] Guess the word containing the letters o j k e. [Give up] The answer is joke. Congratulations for completing the level! Your current score is 2 out of 3. Would you like to continue playing the same level? Say 'yes' to continue or 'no' to stop playing. You can also choose a different level or say 'play continuously' for a non-stop play. [No] Ok. Your current score is 2 out of 3. We'll play another time. Goodbye.",,
,Baby Dragon,"Good evening! Would you like to hear a story? Okay, great. Let's begin. It was almost Halloween and Baby Dragon was trying to decide what costume to wear. Last year he had dressed up as a pumpkin but this year he wanted to be something new. ""I know!"" he decided at last, ""I think I'll be a spooky ghost!"" So he got an old white sheet and his mommy helped him cut two holes for his eyes to peek through. He ran up and down the hallway shouting ""Boooooo! Whoooooo!"" Just then his friend Lisa Lizard rang the doorbell. ""Hi Lisa,"" said Baby Dragon. ""Do you know whoooo I am?"" Lisa laughed. ""Well, you look like a spooky ghost, but I can see your wings sticking out so I know you are really just a Baby Dragon."" Lisa was dressed up as a superhero princess. As soon as they finished dinner, mom brought Lisa and Baby Dragon out to go trick-or-treating. They went up and down the neighborhood and knocked on each door. By the time they got home they each had a big bag full of candy. ""Can we eat all our candy now?"" asked Lisa and Baby Dragon. ""No,"" said mommy, ""but you may each choose two pieces to eat tonight and then we'll save the rest for later."" Baby Dragon chose two Kit-Kat bars. Lisa chose a lollipop and a bag of Skittles. ""I love Halloween!"" said Baby Dragon. What a fun night they had had! <Short audio>","Good evening! Would you like to hear a story? Okay, great. Let's begin. Mommy and Daddy Dragon had a special treat planned for Baby Dragon. They were going to the bowling alley! Baby Dragon had never been bowling before. When they arrived, they first had to go up to the counter to get some special shoes. Baby Dragon wore size number three. Baby Dragon laughed, ""Size three, just like I am three!"" His feet felt so funny in those shoes. They were slippery and it was fun to slip and slide on the hard wooden floor. Then the man showed them which lane they could use. It was lane number six. Daddy showed Baby Dragon how to pick out a bowling ball from the rack. Baby Dragon chose a beautiful blue and green one. It was very heavy. Daddy helped him carry it and showed him how to roll it down towards the bowling pins. But the ball rolled into the gutter and didn't knock down even one pin. Baby Dragon was disappointed. But Daddy said, ""That's okay! Let's try again."" This time Daddy helped him roll the ball. It went straight down the lane. <Short audio> Wow, all the pins fell down this time! ""Good job"" said Daddy. ""That's called a spare!"" Then it was Mommy's turn to roll the ball. She knocked down seven pins on her first try! Bowling was so much fun. They played and played for a long time. Finally the game was over and it was time to go home. ""I'm thirsty"" said Baby Dragon. ""We can get a drink from the water fountain before we go"" said Mommy. She lifted up Baby Dragon and pushed the button to make the water come out <Short audio> Some of the water spilled on Baby Dragon's shirt but he didn't mind. When he had had enough, they went outside and started for home. Baby Dragon smiled. ""Thank you Mommy and Daddy! Going bowling was so much fun!"" That evening he was so tired from their busy and exciting day that he fell asleep right away. <Short audio> [Restart] Good evening! Would you like to hear a story? Okay, great. Let's begin. Baby Dragon was having trouble sleeping. He heard a load noise outside that made him feel scared <Short audio> But his mommy said ""Don't worry, that's just thunder."" Baby Dragon was still worried. ""Will you stay with me?"" he asked his mother. She smiled, ""Okay, I'll stay for a few more minutes but I need you to close your eyes and try to rest."" The Baby Dragon closed his eyes. Then he opened them again. The room had turned very bright for a moment. ""What was that?"" he asked. ""That was lightning"" said his mother. A few seconds later the sound of thunder echoed through the room again <Short audio> This time the Baby Dragon kept his eyes shut and just snuggled deeper under his warm blanket. He knew his mommy was close by and he felt warm and safe and happy. In a few minutes, he was fast asleep. ",In my testing I found 3 different stories,
,Scooby Doo! Mystery Inc. Theater,"scooby dooby doo! where r you? welcome to Scooby Doo Mystery Ink TheaterIt's mystery time! Scooby-Doo and the Mystery Ink gang are on their way to visit the famous Mayhew Mansion.Locals say it's haunted, but the gang wants to investigate for themselves!It sounds like a pretty thrilling place.Do you want to follow along?","[Yes] You sure are brave! I'm scared of ghosts so I think I'm going to sit this one out. But don't worry, the narrator will be there to guide you along the way. <Short Audio>",,
,Unofficial Disney Princess Quiz for Kids,"You sure are brave! I'm scared of ghosts so I think I'm going to sit this one out. But don't worry, the narrator will be there to guide you along the way.",[Four] That answer is correct. Your score is 1. Question 2. What is the name of Belle's horse in beauty and the beast? 1. Maximus. 2. Sven. 3. Philippe. 4. Dave. [Three] That answer is correct. Your score is 2. Question 3. Where does Rapunzel live before she is rescued? 1. In a tower. 2. In a dustbin. 3. Under a troll bridge. 4. In your bedroom. [Two] That answer is wrong. The correct answer is 1: In a tower. Your score is 2. Question 4. What is Moana's pet rooster's name? 1. Nai Nai. 2. Bob. 3. Hei Hei. 4. BoBo. [Three] That answer is correct. Your score is 3. Question 5. What is special about Rapunzel's hair? 1. Heals sick people. 2. Makes an excellent trip wire. 3. Clean's itself. 4. Doesn't need brushing. That answer is correct. You got 4 out of 5 questions correct. Thank you for playing!,,
,Simon Tap,<Uses audio and plays a Simon Says-type game>,,Uses audio clips and Amazon Echo buttons,
,Sesame Street,"Hi. Welcome to Sesame Street. What would you like to do with Elmo today, call about letters, or play hide & seek?","[Call about letters] Great! let's call Elmo to hear the letter of the day. <Elmo Audio> Elmo sure knows a lot about letters. What do you want to do next, call Elmo about another letter, or play hide and seek? [Play Hide and Seek] Okay, let's call Elmo and see if you can find where he's hiding. He loves playing Hide and Seek. <Elmo Audio> ",,
,Funny Word - Fun / Silly Words for Kids,flummoxed,"finagle, kibosh, wipeout, woebegone, poltroon, usurp, nincompoop, lambasted, sesquipadalian, loophole, lexicographer, miasma","A long list of words that I could not fully test, might be able to hide profanity in it",
,Rainbow Words,"Sorry, I can't understand the command. Please say again.",,Skill not functional,
,Cora,,,Unrecognized as a skill,
,Quiz me,what is 10 plus 2,"[Twelve] You answered: 12, Well Done! That is Correct! [Repeat] What is 7 times 6 [35] You Passed on this question. The Answer is 42. [Repeat] what is 5 plus 3 [Ten] You answered: 10, I'm sorry, That is Incorrect. The Answer is 8",,
,Zoo Walk,"Welcome to the zoo! This game has 10 levels. In order to advance to the next level, you have to guess the animal by what you hear. If your answer is wrong, you are out! Let's begin.Please answer after the beep. Level 1. What is the name of the following animal?",,Audio clip-based guessing game,
,You Choose Scooby Doo Mysteries,"Welcome to Scooby Doo Mysteries, a You Choose story bundle from Capstone, made with Earplay. Would you like to play the tutorial first? YES or NO?","[Yes] Okay. If you can hear me, say either PURPLE or YELLOW. [Purple] Ah, purple. Kings and queens often wear purple in folk stories. What we're about to do is tell a story, together, where YOU decide how the story unfolds. Every so often, someone will ask you a question about what should happen in the story, and you'll answer by talking like we just did with the purple and yellow colors. You'll be able to tell from the question what kinds of answers will work. Welcome to Bigfoot Beast! In this interactive storytelling experience, Scooby-Doo and the Mystery Inc. gang encounter Bigfoot while on a camping trip! Will the gang pack up or stay to investigate? Should they follow Bigfoot's trail or wait for help? Does Scooby get to chow down or go hungry? With simple voice commands, you can solve the mystery again and again. When you're ready to begin Bigfoot Beast, say I'M READY! [I'm Ready] <Audio Clips>",,
,Bridget Math,Welcome to Bridget Math built just for Bridget! What do you want to practice?,[Addition] Great! What is 10 plus 2? [Twelve] Good Job! What is five plus two? [Six] Sorry that is wrong. If jen has five unicorns and then finds two more how many would she have? [Six] Sorry that is wrong. If jen has five unicorns and then finds two more how many would she have? [Seven] Wow! You're on fire! Tell Jen to text Dakotah and ask for more questions!,,
,Hindi Gyan,"Hi! Welcome to Hindi Gyan! You can say tell me about Hindi Varnamala, or, you can say translate followed by a word to translate, or, you can say exit... What can I help you with?","[tell me about Hindi Varnamala] a se anaar. aa se aam. i se imlee. ee se eekh. u se ulloo. oo se oon. ri se rishi. e se adee. ai se ainak. o se okhlee. au se aushad. un se ungoor. ka se kela. kha se khargosh. ga se gaajar. gha se ghadee. ung, ung se koi bhi shabd nahi hai, lekin isko shabd ke oopar bindee jaise joda jaata hai, isko hum anusvaar bolte hain. is bindee se shabd kee aavaaz badalti hai, jaise chaand, jungle. cha se chammach. chha se chhaata. ja se jahaaj. jha se jhanda. iya, iya se bhee koee bhee shabd nahee hai, isko hum aadha anusvaar bolte hain. isko akshar ke oopar chandr bindee jaise joda jaata hai, jaise gaanv, jahaan. ta se tamaatar. ttha se thand. da se damaroo. dah se dhol. na, na se bhee koi bhee shabd shuroo nahin hota, lekin shabd ke beech mein ya aakhir mein aata hai, jaise baan, guun. ta se tarbooz. th se tharmas. da se daavat. dh se dhan. na se nal. pa se paanee. ph se phal. ba se bandar. bh se bhaaloo. ma se machhlee. ya se yagya. ra se rassee. la se ladkee. va se vun. sha se shalgam. sh se shatkon. sa se sapera. ha se hal. ksha se kshatriya. tra se trishool. gya se gyanee. Anything else, you want to know? [Translate book] pustak What else can I help you with? [Translate Cat] billi What else can I do for you?",,
,Kids Trivia,,,Invokes same skill as Kid Trivia,
